Business Date,Order ID,Location,Channel,Menu Item Name,Category,Quantity,Unit Price,Gross Sales,Discounts,Refunds,Net Sales,Sales Tax
2026-07-16,ORD-1326,Main Dining Room,Dine In,Lemonade,Produce,4,4.5,18.0,0.9,0,17.1,1.41
2026-07-16,ORD-1327,Main Dining Room,Dine In,Side Salad,Produce,4,8.99,35.96,1.8,0,34.16,2.82
2026-07-16,ORD-1328,Main Dining Room,Dine In,Buffalo Wings,Frozen Goods,2,16.99,33.98,1.7,0,32.28,2.66
2026-07-16,ORD-1329,Main Dining Room,Dine In,Chicken Basket,Frozen Goods,3,15.99,47.97,2.4,0,45.57,3.76
2026-07-16,ORD-1330,Main Dining Room,Dine In,Loaded Fries,Dairy,3,10.99,32.97,0.0,0,32.97,2.72
2026-07-16,ORD-1331,Main Dining Room,Dine In,Loaded Nachos,Misc,2,14.99,29.98,0.0,0,29.98,2.47
2026-07-16,ORD-1332,Main Dining Room,Dine In,Shrimp Basket,Frozen Goods,1,17.99,17.99,0.0,0,17.99,1.48
2026-07-16,ORD-1333,Main Dining Room,Dine In,Draft Beer,Beverage,1,6.5,6.5,0.0,0,6.5,0.54
2026-07-16,ORD-1334,Main Dining Room,Dine In,Bourbon Smash,Liquor,2,12.99,25.98,0.0,0,25.98,2.14
2026-07-16,ORD-1335,Main Dining Room,Dine In,Garden Salad,Produce,4,10.99,43.96,0.0,0,43.96,3.63
2026-07-16,ORD-1336,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,3,15.99,47.97,0.0,0,47.97,3.96
2026-07-16,ORD-1337,Main Dining Room,Dine In,Nacho Platter,Misc,3,13.99,41.97,0.0,0,41.97,3.46
2026-07-16,ORD-1338,Main Dining Room,Dine In,Bottled Water,Beverage,3,2.5,7.5,0.38,0,7.12,0.59
2026-07-16,ORD-1339,Main Dining Room,Dine In,Loaded Nachos,Misc,1,14.99,14.99,0.0,0,14.99,1.24
2026-07-16,ORD-1340,Main Dining Room,Dine In,Wing Sampler,Frozen Goods,3,24.99,74.97,3.75,0,71.22,5.88
2026-07-16,ORD-1341,Main Dining Room,Dine In,Draft Beer,Beverage,1,6.5,6.5,0.33,0,6.17,0.51
2026-07-16,ORD-1342,Main Dining Room,Dine In,Lemonade,Produce,3,4.5,13.5,0.68,0,12.82,1.06
2026-07-16,ORD-1343,Main Dining Room,Dine In,Vodka Lime,Liquor,4,10.99,43.96,0.0,0,43.96,3.63
