Business Date,Order ID,Location,Channel,Menu Item Name,Category,Quantity,Unit Price,Gross Sales,Discounts,Refunds,Net Sales,Sales Tax
2026-07-15,ORD-1308,Main Dining Room,Dine In,Loaded Fries,Dairy,3,10.99,32.97,0.0,0,32.97,2.72
2026-07-15,ORD-1309,Main Dining Room,Dine In,Fried Mozzarella,Dairy,3,10.99,32.97,0.0,0,32.97,2.72
2026-07-15,ORD-1310,Main Dining Room,Dine In,Fish and Chips,Frozen Goods,2,18.99,37.98,0.0,0,37.98,3.13
2026-07-15,ORD-1311,Main Dining Room,Dine In,Tequila Sunrise,Liquor,3,10.99,32.97,1.65,0,31.32,2.58
2026-07-15,ORD-1312,Main Dining Room,Dine In,Lemonade,Produce,1,4.5,4.5,0.0,0,4.5,0.37
2026-07-15,ORD-1313,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,3,15.99,47.97,0.0,0,47.97,3.96
2026-07-15,ORD-1314,Main Dining Room,Dine In,Draft Beer,Beverage,1,6.5,6.5,0.33,0,6.17,0.51
2026-07-15,ORD-1315,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,1,15.99,15.99,0.8,0,15.19,1.25
2026-07-15,ORD-1316,Main Dining Room,Dine In,House Rum Punch,Liquor,1,11.99,11.99,0.6,0,11.39,0.94
2026-07-15,ORD-1317,Main Dining Room,Dine In,Draft Beer,Beverage,1,6.5,6.5,0.0,0,6.5,0.54
2026-07-15,ORD-1318,Main Dining Room,Dine In,Lemonade,Produce,2,4.5,9.0,0.45,0,8.55,0.71
2026-07-15,ORD-1319,Main Dining Room,Dine In,House Rum Punch,Liquor,1,11.99,11.99,0.0,0,11.99,0.99
2026-07-15,ORD-1320,Main Dining Room,Dine In,Side Salad,Produce,3,8.99,26.97,0.0,0,26.97,2.23
2026-07-15,ORD-1321,Main Dining Room,Dine In,House Rum Punch,Liquor,1,11.99,11.99,0.0,0,11.99,0.99
2026-07-15,ORD-1322,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,4,15.99,63.96,0.0,0,63.96,5.28
2026-07-15,ORD-1323,Main Dining Room,Dine In,Wing Sampler,Frozen Goods,1,24.99,24.99,1.25,0,23.74,1.96
2026-07-15,ORD-1324,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,2,15.99,31.98,0.0,0,31.98,2.64
2026-07-15,ORD-1325,Main Dining Room,Dine In,Garden Salad,Produce,3,10.99,32.97,1.65,0,31.32,2.58
