Business Date,Order ID,Location,Channel,Menu Item Name,Category,Quantity,Unit Price,Gross Sales,Discounts,Refunds,Net Sales,Sales Tax
2026-07-17,ORD-1344,Main Dining Room,Dine In,Chicken Basket,Frozen Goods,1,15.99,15.99,0.8,0,15.19,1.25
2026-07-17,ORD-1345,Main Dining Room,Dine In,Bourbon Smash,Liquor,4,12.99,51.96,0.0,0,51.96,4.29
2026-07-17,ORD-1346,Main Dining Room,Dine In,Fried Mozzarella,Dairy,1,10.99,10.99,0.0,0,10.99,0.91
2026-07-17,ORD-1347,Main Dining Room,Dine In,Bottled Water,Beverage,1,2.5,2.5,0.12,0,2.38,0.2
2026-07-17,ORD-1348,Main Dining Room,Dine In,Vodka Lime,Liquor,1,10.99,10.99,0.0,0,10.99,0.91
2026-07-17,ORD-1349,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,4,15.99,63.96,0.0,0,63.96,5.28
2026-07-17,ORD-1350,Main Dining Room,Dine In,Draft Beer,Beverage,3,6.5,19.5,0.0,0,19.5,1.61
2026-07-17,ORD-1351,Main Dining Room,Dine In,Chicken Basket,Frozen Goods,1,15.99,15.99,0.0,0,15.99,1.32
2026-07-17,ORD-1352,Main Dining Room,Dine In,Draft Beer,Beverage,1,6.5,6.5,0.33,0,6.17,0.51
2026-07-17,ORD-1353,Main Dining Room,Dine In,Chicken Basket,Frozen Goods,4,15.99,63.96,0.0,0,63.96,5.28
2026-07-17,ORD-1354,Main Dining Room,Dine In,Bourbon Smash,Liquor,1,12.99,12.99,0.65,0,12.34,1.02
2026-07-17,ORD-1355,Main Dining Room,Dine In,Fried Mozzarella,Dairy,4,10.99,43.96,2.2,0,41.76,3.45
2026-07-17,ORD-1356,Main Dining Room,Dine In,Wing Sampler,Frozen Goods,3,24.99,74.97,0.0,0,74.97,6.19
2026-07-17,ORD-1357,Main Dining Room,Dine In,House Margarita,Liquor,3,11.99,35.97,1.8,0,34.17,2.82
2026-07-17,ORD-1358,Main Dining Room,Dine In,Steak Sandwich,Dry Goods,1,17.99,17.99,0.9,0,17.09,1.41
2026-07-17,ORD-1359,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,1,15.99,15.99,0.0,0,15.99,1.32
2026-07-17,ORD-1360,Main Dining Room,Dine In,Lemonade,Produce,3,4.5,13.5,0.68,0,12.82,1.06
2026-07-17,ORD-1361,Main Dining Room,Dine In,Vodka Lime,Liquor,1,10.99,10.99,0.0,0,10.99,0.91
2026-07-17,ORD-1362,Main Dining Room,Dine In,Draft Beer,Beverage,4,6.5,26.0,0.0,0,26.0,2.15
2026-07-17,ORD-1363,Main Dining Room,Dine In,Side Salad,Produce,2,8.99,17.98,0.9,0,17.08,1.41
2026-07-17,ORD-1364,Main Dining Room,Dine In,Fish and Chips,Frozen Goods,1,18.99,18.99,0.0,0,18.99,1.57
2026-07-17,ORD-1365,Main Dining Room,Dine In,Nacho Platter,Misc,2,13.99,27.98,1.4,0,26.58,2.19
2026-07-17,ORD-1366,Main Dining Room,Dine In,Tequila Sunrise,Liquor,1,10.99,10.99,0.0,0,10.99,0.91
2026-07-17,ORD-1367,Main Dining Room,Dine In,Fish and Chips,Frozen Goods,1,18.99,18.99,0.95,0,18.04,1.49
2026-07-17,ORD-1368,Main Dining Room,Dine In,Garden Salad,Produce,2,10.99,21.98,0.0,0,21.98,1.81
2026-07-17,ORD-1369,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,2,15.99,31.98,1.6,0,30.38,2.51
2026-07-17,ORD-1370,Main Dining Room,Dine In,Vodka Lime,Liquor,2,10.99,21.98,0.0,0,21.98,1.81
2026-07-17,ORD-1371,Main Dining Room,Dine In,Burger Combo,Dry Goods,2,18.99,37.98,1.9,0,36.08,2.98
2026-07-17,ORD-1372,Main Dining Room,Dine In,Nacho Platter,Misc,4,13.99,55.96,0.0,0,55.96,4.62
2026-07-17,ORD-1373,Main Dining Room,Dine In,Garden Salad,Produce,2,10.99,21.98,0.0,0,21.98,1.81
2026-07-17,ORD-1374,Main Dining Room,Dine In,House Margarita,Liquor,4,11.99,47.96,0.0,0,47.96,3.96
2026-07-17,ORD-1375,Main Dining Room,Dine In,House Margarita,Liquor,1,11.99,11.99,0.0,0,11.99,0.99
