Business Date,Order ID,Location,Channel,Menu Item Name,Category,Quantity,Unit Price,Gross Sales,Discounts,Refunds,Net Sales,Sales Tax
2026-07-07,ORD-1136,Main Dining Room,Dine In,Tequila Sunrise,Liquor,3,10.99,32.97,0.0,0,32.97,2.72
2026-07-07,ORD-1137,Main Dining Room,Dine In,Shrimp Basket,Frozen Goods,4,17.99,71.96,0.0,0,71.96,5.94
2026-07-07,ORD-1138,Main Dining Room,Dine In,Tequila Sunrise,Liquor,1,10.99,10.99,0.0,0,10.99,0.91
2026-07-07,ORD-1139,Main Dining Room,Dine In,Garden Salad,Produce,3,10.99,32.97,0.0,0,32.97,2.72
2026-07-07,ORD-1140,Main Dining Room,Dine In,Chicken Basket,Frozen Goods,4,15.99,63.96,3.2,0,60.76,5.01
2026-07-07,ORD-1141,Main Dining Room,Dine In,Steak Sandwich,Dry Goods,3,17.99,53.97,0.0,0,53.97,4.45
2026-07-07,ORD-1142,Main Dining Room,Dine In,Flame Burger,Dry Goods,3,14.99,44.97,0.0,0,44.97,3.71
2026-07-07,ORD-1143,Main Dining Room,Dine In,Chips and Queso,Misc,3,9.99,29.97,1.5,0,28.47,2.35
2026-07-07,ORD-1144,Main Dining Room,Dine In,Chips and Queso,Misc,1,9.99,9.99,0.0,0,9.99,0.82
2026-07-07,ORD-1145,Main Dining Room,Dine In,Wing Sampler,Frozen Goods,2,24.99,49.98,0.0,0,49.98,4.12
2026-07-07,ORD-1146,Main Dining Room,Dine In,Tequila Sunrise,Liquor,4,10.99,43.96,0.0,0,43.96,3.63
2026-07-07,ORD-1147,Main Dining Room,Dine In,Tequila Sunrise,Liquor,1,10.99,10.99,0.55,0,10.44,0.86
2026-07-07,ORD-1148,Main Dining Room,Dine In,Vodka Lime,Liquor,4,10.99,43.96,2.2,0,41.76,3.45
2026-07-07,ORD-1149,Main Dining Room,Dine In,Steak Sandwich,Dry Goods,4,17.99,71.96,0.0,0,71.96,5.94
2026-07-07,ORD-1150,Main Dining Room,Dine In,Vodka Lime,Liquor,3,10.99,32.97,0.0,0,32.97,2.72
2026-07-07,ORD-1151,Main Dining Room,Dine In,Lemonade,Produce,1,4.5,4.5,0.0,0,4.5,0.37
2026-07-07,ORD-1152,Main Dining Room,Dine In,Burger Combo,Dry Goods,3,18.99,56.97,2.85,0,54.12,4.46
2026-07-07,ORD-1153,Main Dining Room,Dine In,Wing Sampler,Frozen Goods,1,24.99,24.99,0.0,0,24.99,2.06
